Amp Rating,Category,Cylinder (mm),Dimensions (L×W×H mm),Dimensions (mm),Free Air Delivery (CFM),Free Air Delivery (L/min),Joint Thread,Max Pressure,Max Pressure (bar),Max Pressure (psi),Model,Motor HP,Motor kW,Noise (dB),Phase,Piston Displacement (CFM),Piston Displacement (L/min),Pistons (nos),Ports,Power (W),RPM,Relief Valve,Tank (L),Tank Thickness (mm),Type,Variant,Voltage,Voltage (V),Voltage (V/Hz/Ph),Weight (kg)
,Air Compressor (JET),42,568×282×611,,3.5,99,,,8,120,JET-S100H25LACA,1.0,0.75,,,5.8,164,1,,,2800,,25,2.5,,A,,,230/50/1,20
,Air Compressor (JET),42,575×305×653,,3.5,99,,,8,120,JET-S100H40LACA,1.0,0.75,,,5.8,164,1,,,2800,,40,2.5,,A,,,230/50/1,28
,Air Compressor (JET),42,834×318×680,,3.5,99,,,8,120,JET-S100H60LACA,1.0,0.75,,,5.8,164,1,,,2800,,60,2.5,,A,,,230/50/1,32
,Air Compressor (JET),47,568×282×611,,5.0,142,,,8,120,JET-S150H25LACA,1.5,1.1,,,6.5,184,1,,,2800,,25,2.5,,A,,,230/50/1,20
,Air Compressor (JET),47,575×305×653,,5.0,142,,,8,120,JET-S150H40LACA,1.5,1.1,,,6.5,184,1,,,2800,,40,2.5,,A,,,230/50/1,28
,Air Compressor (JET),47,834×318×680,,5.0,142,,,8,120,JET-S150H60LACA,1.5,1.1,,,6.5,184,1,,,2800,,60,2.5,,A,,,230/50/1,32
,Air Compressor (JET),42,568×282×611,,3.5,99,,,8,120,JET-S100H25LACB,1.0,0.75,,,5.8,164,1,,,2800,,25,2.5,,B,,,230/50/1,21
,Air Compressor (JET),42,575×305×653,,3.5,99,,,8,120,JET-S100H40LACB,1.0,0.75,,,5.8,164,1,,,2800,,40,2.5,,B,,,230/50/1,29
,Air Compressor (JET),42,834×318×680,,3.5,99,,,8,120,JET-S100H60LACB,1.0,0.75,,,5.8,164,1,,,2800,,60,2.5,,B,,,230/50/1,33
,Air Compressor (JET),47,568×282×611,,5.0,142,,,8,120,JET-S150H25LACB,1.5,1.1,,,6.5,184,1,,,2800,,25,2.5,,B,,,230/50/1,21
,Air Compressor (JET),47,575×305×653,,5.0,142,,,8,120,JET-S150H40LACB,1.5,1.1,,,6.5,184,1,,,2800,,40,2.5,,B,,,230/50/1,29
,Air Compressor (JET),47,834×318×680,,5.0,142,,,8,120,JET-S150H60LACB,1.5,1.1,,,6.5,184,1,,,2800,,60,2.5,,B,,,230/50/1,33
,Air Compressor (JET),42,568×282×611,,3.5,99,,,8,120,JET-S100H25LACC,1.0,0.75,,,5.8,164,1,,,2800,,25,2.5,,C,,,230/50/1,21
,Air Compressor (JET),42,575×305×653,,3.5,99,,,8,120,JET-S100H40LACC,1.0,0.75,,,5.8,164,1,,,2800,,40,2.5,,C,,,230/50/1,29
,Air Compressor (JET),42,834×318×680,,3.5,99,,,8,120,JET-S100H60LACC,1.0,0.75,,,5.8,164,1,,,2800,,60,2.5,,C,,,230/50/1,33
,Air Compressor (JET),47,568×282×611,,5.0,142,,,8,120,JET-S150H25LACC,1.5,1.1,,,6.5,184,1,,,2800,,25,2.5,,C,,,230/50/1,21
,Air Compressor (JET),47,575×305×653,,5.0,142,,,8,120,JET-S150H40LACC,1.5,1.1,,,6.5,184,1,,,2800,,40,2.5,,C,,,230/50/1,29
,Air Compressor (JET),47,834×318×680,,5.0,142,,,8,120,JET-S150H60LACC,1.5,1.1,,,6.5,184,1,,,2800,,60,2.5,,C,,,230/50/1,33
,Air Compressor (SILENT),,386×282×552,,,271,,,8,120,SILENT-S150H12LACB,1.5,1.11,<70,,,323,,,,2800,,12,2.5,,B,,,230/50/1,17
,Air Compressor (SILENT),,568×282×551,,,271,,,8,120,SILENT-S150H25LACB,1.5,1.11,<70,,,323,,,,2800,,25,2.5,,B,,,230/50/1,21
,Air Compressor (SILENT),,575×305×605,,,271,,,8,120,SILENT-S150H40LACB,1.5,1.11,<70,,,323,,,,2800,,40,2.5,,B,,,230/50/1,24
,Air Compressor (SILENT),,834×318×630,,,271,,,8,120,SILENT-S150H60LACB,1.5,1.11,<70,,,323,,,,2800,,60,2.5,,B,,,230/50/1,34
,Air Compressor (SILENT),,860×342×680,,,361,,,8,120,SILENT-S300H80LACB,3.0,2.23,<70,,,464,,,,2800,,80,2.5,,B,,,230/50/1,49
,Air Compressor (SILENT),,1011×342×680,,,361,,,8,120,SILENT-S300H105LACB,3.0,2.23,<70,,,464,,,,2800,,105,2.5,,B,,,230/50/1,53
,Air Compressor (SILENT),,386×282×552,,,271,,,8,120,SILENT-S150H12LACC,1.5,1.11,<70,,,323,,,,2800,,12,2.5,,C,,,230/50/1,17
,Air Compressor (SILENT),,568×282×551,,,271,,,8,120,SILENT-S150H25LACC,1.5,1.11,<70,,,323,,,,2800,,25,2.5,,C,,,230/50/1,22
,Air Compressor (SILENT),,575×305×605,,,271,,,8,120,SILENT-S150H40LACC,1.5,1.11,<70,,,323,,,,2800,,40,2.5,,C,,,230/50/1,25
,Air Compressor (SILENT),,834×318×630,,,271,,,8,120,SILENT-S150H60LACC,1.5,1.11,<70,,,323,,,,2800,,60,2.5,,C,,,230/50/1,35
,Air Compressor (SILENT),,860×342×680,,,361,,,8,120,SILENT-S300H80LACC,3.0,2.23,<70,,,464,,,,2800,,80,2.5,,C,,,230/50/1,50
,Air Compressor (SILENT),,1011×342×680,,,361,,,8,120,SILENT-S300H105LACC,3.0,2.23,<70,,,464,,,,2800,,105,2.5,,C,,,230/50/1,54
,Vulcanizing Machine,,,145×185×12,,,,,,,SPIDER-S0750WM,,,,,,,,,750,,,,,,,230/50/1,,,8
